user_id,signup_date,city,device_type,acquisition_channel
71,2025-04-13,Bangalore,Mobile,LinkedIn
72,2025-01-01,Kolkata,Desktop,LinkedIn
73,2025-03-15,Kolkata,Tablet,Referral
74,2025-06-19,Ahmedabad,Mobile,Google Ads
75,2025-03-17,Chennai,Mobile,Referral
76,2025-05-19,Bangalore,Tablet,Instagram
77,2025-01-15,Bangalore,Tablet,LinkedIn
78,2025-05-09,Jaipur,Mobile,Organic
79,2025-05-11,Mumbai,Mobile,Organic
80,2025-06-02,Mumbai,Tablet,Google Ads
81,2025-04-14,Mumbai,Tablet,Google Ads
82,2025-05-29,Kochi,Mobile,Referral
83,2025-01-21,Kolkata,Tablet,Referral
84,2025-05-25,Jaipur,Desktop,Instagram
85,2025-02-22,Pune,Mobile,Instagram
86,2025-04-12,Delhi,Tablet,Instagram
87,2025-04-28,Pune,Mobile,Organic
88,2025-04-28,Kochi,Tablet,Organic
89,2025-01-19,Jaipur,Mobile,Referral
90,2025-03-09,Delhi,Desktop,Organic
91,2025-03-04,Pune,Desktop,Google Ads
92,2025-04-23,Jaipur,Tablet,Instagram
93,2025-06-06,Jaipur,Mobile,Referral
94,2025-03-18,Mumbai,Mobile,Instagram
95,2025-01-30,Mumbai,Tablet,Referral
96,2025-02-09,Hyderabad,Desktop,Referral
97,2025-02-23,Pune,Mobile,Instagram
98,2025-05-10,Ahmedabad,Desktop,Organic
99,2025-01-24,Kolkata,Desktop,Organic
100,2025-01-01,Pune,Mobile,Instagram
101,2025-02-11,Ahmedabad,Tablet,LinkedIn
102,2025-05-24,Bangalore,Mobile,Organic
103,2025-06-26,Delhi,Tablet,Organic
104,2025-04-05,Kochi,Tablet,Google Ads
105,2025-04-21,Delhi,Mobile,Instagram
106,2025-04-04,Bangalore,Desktop,Google Ads
107,2025-06-24,Chennai,Tablet,Organic
108,2025-04-01,Jaipur,Desktop,Referral
109,2025-02-09,Chennai,Mobile,Google Ads
110,2025-04-16,Bangalore,Mobile,Instagram
111,2025-04-16,Chennai,Desktop,Google Ads
112,2025-06-29,Mumbai,Desktop,Organic
113,2025-05-01,Chennai,Mobile,LinkedIn
114,2025-03-31,Hyderabad,Mobile,Google Ads
115,2025-01-07,Chennai,Desktop,Instagram
116,2025-03-13,Mumbai,Desktop,Instagram
117,2025-06-14,Jaipur,Desktop,Referral
118,2025-03-26,Bangalore,Mobile,Instagram
119,2025-02-15,Kochi,Desktop,Organic
120,2025-01-28,Kochi,Desktop,Instagram
121,2025-03-22,Kolkata,Tablet,Referral
122,2025-01-30,Kolkata,Tablet,Google Ads
123,2025-03-07,Bangalore,Tablet,LinkedIn
124,2025-01-01,Jaipur,Tablet,Google Ads
125,2025-04-04,Kolkata,Mobile,Instagram
126,2025-06-09,Pune,Tablet,Organic
127,2025-03-18,Jaipur,Desktop,LinkedIn
128,2025-03-25,Kolkata,Tablet,Instagram
129,2025-05-22,Delhi,Mobile,LinkedIn
130,2025-06-20,Kolkata,Tablet,Google Ads
131,2025-06-07,Kochi,Desktop,LinkedIn
132,2025-05-21,Bangalore,Desktop,Instagram
133,2025-02-23,Kolkata,Tablet,Referral
134,2025-06-17,Pune,Desktop,LinkedIn
135,2025-04-24,Chennai,Tablet,LinkedIn
136,2025-02-13,Mumbai,Desktop,Referral
137,2025-06-19,Kochi,Desktop,Organic
138,2025-03-02,Hyderabad,Mobile,Google Ads
139,2025-02-07,Bangalore,Mobile,Google Ads
140,2025-05-02,Kochi,Mobile,LinkedIn
141,2025-04-17,Kochi,Mobile,LinkedIn
142,2025-05-07,Kolkata,Mobile,Google Ads
143,2025-06-17,Bangalore,Mobile,LinkedIn
144,2025-02-26,Delhi,Tablet,Referral
145,2025-04-29,Bangalore,Tablet,Google Ads
146,2025-02-01,Ahmedabad,Mobile,LinkedIn
147,2025-06-20,Jaipur,Tablet,Referral
148,2025-03-23,Ahmedabad,Tablet,Referral
149,2025-04-20,Jaipur,Desktop,Google Ads
150,2025-05-02,Ahmedabad,Desktop,Google Ads
151,2025-06-13,Hyderabad,Tablet,LinkedIn
152,2025-06-10,Chennai,Desktop,LinkedIn
153,2025-01-20,Hyderabad,Mobile,Instagram
154,2025-03-27,Pune,Tablet,Organic
155,2025-02-05,Delhi,Mobile,LinkedIn
156,2025-06-27,Delhi,Tablet,Google Ads
157,2025-01-17,Kolkata,Desktop,Instagram
158,2025-05-19,Ahmedabad,Desktop,Organic
159,2025-02-22,Kolkata,Desktop,Referral
160,2025-06-28,Bangalore,Tablet,LinkedIn
161,2025-05-03,Bangalore,Desktop,Instagram
162,2025-04-10,Kolkata,Tablet,Referral
163,2025-06-04,Chennai,Desktop,Google Ads
164,2025-03-11,Kolkata,Desktop,Organic
165,2025-04-10,Pune,Tablet,LinkedIn
166,2025-02-12,Ahmedabad,Mobile,Referral
167,2025-05-17,Bangalore,Desktop,Referral
168,2025-05-25,Bangalore,Mobile,LinkedIn
169,2025-02-04,Ahmedabad,Mobile,Organic
170,2025-03-08,Kolkata,Desktop,Google Ads
171,2025-04-27,Pune,Desktop,LinkedIn
172,2025-03-13,Kolkata,Desktop,Organic
173,2025-05-01,Bangalore,Tablet,Referral
174,2025-01-14,Pune,Mobile,Organic
175,2025-06-16,Bangalore,Mobile,Google Ads
176,2025-02-21,Bangalore,Tablet,Google Ads
177,2025-03-03,Delhi,Desktop,Organic
178,2025-05-25,Chennai,Desktop,Instagram
179,2025-04-05,Delhi,Tablet,Referral
180,2025-01-30,Delhi,Desktop,Organic
181,2025-05-29,Bangalore,Desktop,Referral
182,2025-06-23,Kolkata,Desktop,Google Ads
183,2025-01-20,Kochi,Tablet,Google Ads
184,2025-01-27,Hyderabad,Tablet,Referral
185,2025-01-31,Kochi,Mobile,Instagram
186,2025-05-17,Kolkata,Tablet,Instagram
187,2025-01-18,Jaipur,Tablet,Instagram
188,2025-01-04,Kolkata,Desktop,Organic
189,2025-04-21,Pune,Tablet,LinkedIn
190,2025-02-09,Kolkata,Mobile,Referral
191,2025-06-16,Hyderabad,Tablet,Referral
192,2025-05-04,Ahmedabad,Desktop,Referral
193,2025-03-10,Pune,Mobile,Organic
194,2025-03-13,Ahmedabad,Mobile,LinkedIn
195,2025-05-26,Kochi,Tablet,LinkedIn
196,2025-03-28,Bangalore,Desktop,Instagram
197,2025-02-16,Ahmedabad,Mobile,Instagram
198,2025-03-08,Pune,Desktop,Referral
199,2025-06-29,Hyderabad,Tablet,Organic
200,2025-05-13,Chennai,Mobile,Google Ads
201,2025-04-15,Ahmedabad,Tablet,Google Ads
202,2025-06-26,Ahmedabad,Tablet,LinkedIn
203,2025-04-25,Bangalore,Mobile,Instagram
204,2025-02-26,Kolkata,Tablet,Google Ads
205,2025-03-20,Kochi,Desktop,LinkedIn
206,2025-05-22,Jaipur,Desktop,LinkedIn
207,2025-05-21,Pune,Desktop,LinkedIn
208,2025-03-11,Hyderabad,Desktop,Google Ads
209,2025-01-31,Chennai,Desktop,Organic
210,2025-05-18,Delhi,Mobile,Google Ads
211,2025-05-04,Hyderabad,Tablet,Referral
212,2025-05-15,Kochi,Desktop,Organic
213,2025-02-19,Hyderabad,Mobile,Instagram
214,2025-02-15,Hyderabad,Mobile,Referral
215,2025-02-02,Hyderabad,Mobile,Organic
216,2025-05-22,Hyderabad,Tablet,Google Ads
217,2025-06-13,Ahmedabad,Mobile,Organic
218,2025-05-27,Hyderabad,Desktop,LinkedIn
219,2025-04-23,Pune,Mobile,Organic
220,2025-03-06,Ahmedabad,Mobile,Organic
221,2025-04-13,Ahmedabad,Mobile,Referral
222,2025-06-11,Bangalore,Mobile,Google Ads
223,2025-05-25,Hyderabad,Mobile,Google Ads
224,2025-01-31,Jaipur,Desktop,Referral
225,2025-06-02,Kochi,Mobile,Referral
226,2025-04-08,Ahmedabad,Desktop,Instagram
227,2025-05-31,Kolkata,Desktop,Referral
228,2025-06-08,Bangalore,Tablet,Organic
229,2025-02-23,Chennai,Desktop,Organic
230,2025-02-10,Chennai,Mobile,Referral
231,2025-01-20,Delhi,Mobile,LinkedIn
232,2025-04-26,Kochi,Desktop,Instagram
233,2025-01-09,Chennai,Desktop,Instagram
234,2025-06-29,Ahmedabad,Mobile,Google Ads
235,2025-03-09,Kochi,Tablet,Google Ads
236,2025-04-19,Mumbai,Tablet,Google Ads
237,2025-06-15,Delhi,Desktop,Google Ads
238,2025-01-19,Bangalore,Mobile,Instagram
239,2025-06-02,Kochi,Desktop,LinkedIn
240,2025-02-01,Ahmedabad,Tablet,Instagram
241,2025-06-29,Kolkata,Desktop,Referral
242,2025-05-19,Ahmedabad,Desktop,Organic
243,2025-06-03,Bangalore,Desktop,Instagram
244,2025-06-04,Hyderabad,Mobile,Organic
245,2025-02-28,Kochi,Tablet,Organic
246,2025-06-22,Hyderabad,Tablet,Organic
247,2025-02-14,Ahmedabad,Tablet,LinkedIn
248,2025-03-13,Delhi,Tablet,LinkedIn
249,2025-06-12,Ahmedabad,Mobile,LinkedIn
250,2025-03-31,Kolkata,Desktop,Instagram
251,2025-06-21,Mumbai,Mobile,Instagram
252,2025-04-16,Ahmedabad,Desktop,LinkedIn
253,2025-05-21,Bangalore,Desktop,Organic
254,2025-03-22,Hyderabad,Desktop,Organic
255,2025-04-14,Jaipur,Mobile,Referral
256,2025-04-29,Kolkata,Mobile,Google Ads
257,2025-05-13,Pune,Tablet,LinkedIn
258,2025-06-10,Ahmedabad,Mobile,Google Ads
259,2025-03-10,Jaipur,Mobile,Instagram
260,2025-04-23,Ahmedabad,Mobile,Organic
261,2025-06-11,Kochi,Mobile,Google Ads
262,2025-03-21,Jaipur,Mobile,Referral
263,2025-04-15,Mumbai,Mobile,Organic
264,2025-04-29,Mumbai,Tablet,Google Ads
265,2025-05-08,Hyderabad,Tablet,Instagram
266,2025-04-17,Ahmedabad,Desktop,Google Ads
267,2025-04-27,Jaipur,Mobile,LinkedIn
268,2025-02-18,Kochi,Tablet,Google Ads
269,2025-01-18,Hyderabad,Desktop,Instagram
270,2025-05-10,Hyderabad,Mobile,Instagram
271,2025-03-18,Kochi,Tablet,LinkedIn
272,2025-02-08,Ahmedabad,Tablet,LinkedIn
273,2025-03-30,Pune,Tablet,Referral
274,2025-04-07,Ahmedabad,Desktop,Google Ads
275,2025-06-28,Chennai,Tablet,LinkedIn
276,2025-03-01,Kolkata,Mobile,Instagram
277,2025-05-02,Kolkata,Desktop,Google Ads
278,2025-05-07,Bangalore,Mobile,Referral
279,2025-06-01,Pune,Mobile,LinkedIn
280,2025-01-26,Jaipur,Desktop,Organic
281,2025-02-06,Kolkata,Tablet,Google Ads
282,2025-01-20,Ahmedabad,Desktop,Instagram
283,2025-06-09,Kolkata,Tablet,Organic
284,2025-03-26,Jaipur,Desktop,Instagram
285,2025-06-10,Ahmedabad,Tablet,Organic
286,2025-06-08,Mumbai,Mobile,Instagram
287,2025-02-28,Mumbai,Desktop,Organic
288,2025-06-12,Mumbai,Desktop,Google Ads
289,2025-06-27,Hyderabad,Mobile,Organic
290,2025-03-25,Bangalore,Desktop,Instagram
291,2025-04-06,Kolkata,Mobile,Google Ads
292,2025-05-16,Kolkata,Tablet,Google Ads
293,2025-02-13,Delhi,Mobile,Referral
294,2025-04-08,Kochi,Tablet,Google Ads
295,2025-05-08,Kochi,Mobile,Google Ads
296,2025-04-29,Hyderabad,Desktop,Instagram
297,2025-06-20,Bangalore,Desktop,Instagram
298,2025-06-23,Jaipur,Mobile,Organic
299,2025-04-24,Pune,Tablet,Instagram
300,2025-06-13,Kolkata,Tablet,Instagram
301,2025-04-27,Hyderabad,Mobile,LinkedIn
302,2025-05-04,Mumbai,Mobile,LinkedIn
303,2025-05-27,Pune,Tablet,Instagram
304,2025-06-29,Hyderabad,Mobile,LinkedIn
305,2025-03-12,Bangalore,Tablet,Organic
306,2025-06-05,Ahmedabad,Desktop,Google Ads
307,2025-06-05,Pune,Mobile,Google Ads
308,2025-06-08,Hyderabad,Tablet,Google Ads
309,2025-06-10,Mumbai,Tablet,Organic
310,2025-03-21,Ahmedabad,Mobile,Referral
311,2025-04-04,Delhi,Mobile,Instagram
312,2025-03-25,Kolkata,Mobile,Google Ads
313,2025-02-03,Jaipur,Desktop,Referral
314,2025-05-09,Hyderabad,Mobile,Instagram
315,2025-05-04,Hyderabad,Tablet,Instagram
316,2025-01-30,Ahmedabad,Mobile,Google Ads
317,2025-02-27,Kolkata,Tablet,Instagram
318,2025-01-24,Kolkata,Mobile,Instagram
319,2025-05-18,Mumbai,Desktop,Instagram
320,2025-06-22,Hyderabad,Tablet,LinkedIn
321,2025-06-13,Pune,Mobile,Google Ads
322,2025-05-01,Bangalore,Tablet,Referral
323,2025-03-25,Kochi,Mobile,Organic
324,2025-06-12,Ahmedabad,Tablet,Instagram
325,2025-06-16,Kolkata,Mobile,Google Ads
326,2025-01-12,Bangalore,Desktop,LinkedIn
327,2025-01-30,Mumbai,Mobile,Referral
328,2025-02-04,Kolkata,Desktop,Instagram
329,2025-06-21,Jaipur,Desktop,Referral
330,2025-02-09,Kolkata,Tablet,Organic
331,2025-05-06,Kochi,Desktop,Instagram
332,2025-01-09,Pune,Mobile,LinkedIn
333,2025-04-24,Chennai,Desktop,Organic
334,2025-06-25,Pune,Tablet,Instagram
335,2025-01-16,Kolkata,Desktop,Google Ads
336,2025-02-01,Ahmedabad,Mobile,Google Ads
337,2025-06-14,Kochi,Mobile,Organic
338,2025-03-27,Chennai,Mobile,Referral
339,2025-02-22,Mumbai,Tablet,Google Ads
340,2025-05-31,Chennai,Mobile,Instagram
341,2025-02-07,Kochi,Mobile,Instagram
342,2025-02-07,Delhi,Tablet,Instagram
343,2025-02-14,Mumbai,Tablet,Organic
344,2025-02-03,Bangalore,Desktop,Google Ads
345,2025-05-31,Pune,Mobile,Google Ads
346,2025-03-09,Bangalore,Mobile,LinkedIn
347,2025-05-15,Mumbai,Tablet,Organic
348,2025-05-02,Ahmedabad,Desktop,Referral
349,2025-06-01,Mumbai,Desktop,Referral
350,2025-02-26,Kochi,Mobile,Referral
351,2025-03-19,Ahmedabad,Tablet,Organic
352,2025-01-16,Ahmedabad,Desktop,LinkedIn
353,2025-06-25,Mumbai,Desktop,LinkedIn
354,2025-01-19,Mumbai,Desktop,Referral
355,2025-02-07,Mumbai,Mobile,Instagram
356,2025-06-09,Kochi,Tablet,Instagram
357,2025-04-08,Kochi,Tablet,Instagram
358,2025-04-27,Jaipur,Tablet,LinkedIn
359,2025-01-26,Mumbai,Tablet,Referral
360,2025-02-25,Kolkata,Desktop,Google Ads
361,2025-04-16,Pune,Desktop,LinkedIn
362,2025-04-17,Mumbai,Desktop,LinkedIn
363,2025-03-22,Hyderabad,Desktop,Google Ads
364,2025-06-25,Ahmedabad,Mobile,Organic
365,2025-01-22,Mumbai,Desktop,Organic
366,2025-04-06,Delhi,Tablet,Organic
367,2025-05-31,Jaipur,Tablet,Instagram
368,2025-06-21,Mumbai,Desktop,Instagram
369,2025-06-20,Kolkata,Tablet,Organic
370,2025-03-15,Kochi,Desktop,Instagram
371,2025-01-27,Kochi,Tablet,Google Ads
372,2025-02-09,Ahmedabad,Mobile,Organic
373,2025-03-31,Jaipur,Desktop,Organic
374,2025-03-13,Kochi,Mobile,LinkedIn
375,2025-05-24,Kochi,Tablet,Referral
376,2025-01-07,Kochi,Tablet,Instagram
377,2025-01-08,Delhi,Desktop,Instagram
378,2025-03-28,Pune,Mobile,Google Ads
379,2025-02-06,Kochi,Tablet,LinkedIn
380,2025-01-18,Delhi,Tablet,Organic
381,2025-01-24,Jaipur,Mobile,LinkedIn
382,2025-04-18,Ahmedabad,Desktop,Google Ads
383,2025-04-05,Hyderabad,Tablet,Instagram
384,2025-05-26,Kochi,Mobile,Organic
385,2025-02-09,Delhi,Tablet,Organic
386,2025-06-22,Mumbai,Desktop,LinkedIn
387,2025-06-19,Kolkata,Desktop,Referral
388,2025-04-24,Kolkata,Desktop,Google Ads
389,2025-05-12,Mumbai,Desktop,LinkedIn
390,2025-01-29,Hyderabad,Tablet,Referral
391,2025-05-05,Jaipur,Tablet,Instagram
392,2025-01-12,Chennai,Desktop,Referral
393,2025-01-15,Bangalore,Mobile,Instagram
394,2025-02-24,Delhi,Desktop,Instagram
395,2025-03-25,Mumbai,Mobile,LinkedIn
396,2025-04-21,Delhi,Mobile,LinkedIn
397,2025-05-17,Chennai,Tablet,Referral
398,2025-06-21,Pune,Mobile,LinkedIn
399,2025-01-11,Kolkata,Mobile,LinkedIn
400,2025-01-20,Pune,Tablet,LinkedIn
401,2025-05-27,Kolkata,Tablet,LinkedIn
402,2025-03-16,Mumbai,Desktop,Organic
403,2025-03-25,Delhi,Tablet,LinkedIn
404,2025-06-26,Pune,Mobile,LinkedIn
405,2025-01-28,Chennai,Desktop,Referral
406,2025-04-13,Jaipur,Mobile,LinkedIn
407,2025-03-21,Pune,Mobile,Instagram
408,2025-02-13,Mumbai,Tablet,Organic
409,2025-05-16,Jaipur,Mobile,Instagram
410,2025-03-31,Delhi,Mobile,Organic
411,2025-02-07,Hyderabad,Mobile,Google Ads
412,2025-06-04,Delhi,Tablet,Organic
413,2025-02-15,Ahmedabad,Desktop,Referral
414,2025-05-29,Ahmedabad,Tablet,Referral
415,2025-06-14,Kochi,Desktop,Instagram
416,2025-02-08,Ahmedabad,Mobile,LinkedIn
417,2025-04-24,Hyderabad,Desktop,Referral
418,2025-01-15,Pune,Tablet,Organic
419,2025-03-21,Ahmedabad,Desktop,Organic
420,2025-01-15,Pune,Desktop,Organic
421,2025-06-15,Mumbai,Tablet,Referral
422,2025-05-10,Kolkata,Desktop,Referral
423,2025-05-22,Bangalore,Desktop,Referral
424,2025-06-16,Chennai,Desktop,Referral
425,2025-05-02,Jaipur,Mobile,Organic
426,2025-04-26,Mumbai,Desktop,Organic
427,2025-05-10,Delhi,Mobile,Google Ads
428,2025-04-23,Ahmedabad,Tablet,Referral
429,2025-06-06,Delhi,Desktop,Instagram
430,2025-03-14,Kolkata,Desktop,Instagram
431,2025-06-23,Kochi,Mobile,Instagram
432,2025-01-17,Pune,Mobile,Referral
433,2025-06-23,Kolkata,Desktop,Instagram
434,2025-06-18,Kochi,Mobile,Instagram
435,2025-01-21,Kochi,Tablet,Google Ads
436,2025-03-31,Hyderabad,Tablet,LinkedIn
437,2025-02-03,Kochi,Tablet,Organic
438,2025-03-21,Jaipur,Desktop,Instagram
439,2025-02-02,Jaipur,Mobile,LinkedIn
440,2025-05-11,Pune,Mobile,Instagram
441,2025-03-21,Delhi,Mobile,Instagram
442,2025-05-05,Chennai,Mobile,Google Ads
443,2025-02-09,Mumbai,Desktop,Organic
444,2025-05-10,Jaipur,Tablet,Referral
445,2025-01-10,Pune,Tablet,Google Ads
446,2025-06-02,Kolkata,Mobile,Google Ads
447,2025-02-16,Kochi,Mobile,LinkedIn
448,2025-01-12,Kolkata,Desktop,Google Ads
449,2025-04-24,Kochi,Desktop,LinkedIn
450,2025-03-01,Jaipur,Mobile,Instagram
451,2025-05-01,Chennai,Desktop,Referral
452,2025-04-23,Ahmedabad,Desktop,LinkedIn
453,2025-05-09,Jaipur,Desktop,Google Ads
454,2025-02-21,Kochi,Mobile,Instagram
455,2025-01-14,Ahmedabad,Desktop,Referral
456,2025-01-27,Jaipur,Mobile,Instagram
457,2025-01-22,Delhi,Desktop,LinkedIn
458,2025-05-12,Delhi,Desktop,Organic
459,2025-02-26,Ahmedabad,Desktop,Organic
460,2025-04-17,Bangalore,Desktop,Referral
461,2025-04-06,Chennai,Desktop,Organic
462,2025-04-06,Chennai,Mobile,Instagram
463,2025-01-26,Pune,Mobile,Google Ads
464,2025-01-10,Hyderabad,Desktop,Google Ads
465,2025-06-30,Ahmedabad,Desktop,Referral
466,2025-01-02,Mumbai,Mobile,Instagram
467,2025-02-25,Delhi,Tablet,Referral
468,2025-05-16,Kolkata,Mobile,Instagram
469,2025-03-02,Hyderabad,Mobile,Organic
470,2025-03-03,Kolkata,Tablet,Referral
471,2025-04-28,Mumbai,Mobile,LinkedIn
472,2025-06-02,Jaipur,Mobile,Referral
473,2025-05-28,Chennai,Tablet,Google Ads
474,2025-03-16,Kolkata,Mobile,Referral
475,2025-04-01,Chennai,Tablet,LinkedIn
476,2025-02-17,Mumbai,Tablet,Instagram
477,2025-01-18,Jaipur,Tablet,Referral
478,2025-05-10,Jaipur,Mobile,LinkedIn
479,2025-05-01,Bangalore,Tablet,LinkedIn
480,2025-04-06,Hyderabad,Tablet,Organic
481,2025-04-02,Mumbai,Desktop,Google Ads
482,2025-06-18,Mumbai,Tablet,Instagram
483,2025-02-04,Bangalore,Desktop,Referral
484,2025-03-28,Delhi,Tablet,LinkedIn
485,2025-06-28,Ahmedabad,Tablet,Google Ads
486,2025-02-04,Mumbai,Tablet,LinkedIn
487,2025-01-10,Hyderabad,Mobile,Organic
488,2025-02-21,Bangalore,Desktop,Instagram
489,2025-05-12,Kolkata,Tablet,LinkedIn
490,2025-03-06,Bangalore,Tablet,Google Ads
491,2025-03-15,Pune,Mobile,Instagram
492,2025-03-11,Mumbai,Desktop,LinkedIn
493,2025-04-13,Ahmedabad,Desktop,Instagram
494,2025-02-17,Ahmedabad,Tablet,LinkedIn
495,2025-04-05,Jaipur,Desktop,Organic
496,2025-04-19,Mumbai,Desktop,Referral
497,2025-02-16,Jaipur,Desktop,Instagram
498,2025-01-27,Mumbai,Desktop,Instagram
499,2025-03-20,Ahmedabad,Tablet,LinkedIn
500,2025-02-12,Ahmedabad,Desktop,LinkedIn
501,2025-01-11,Pune,Tablet,LinkedIn
502,2025-03-12,Bangalore,Mobile,LinkedIn
503,2025-04-04,Jaipur,Tablet,Google Ads
504,2025-01-08,Delhi,Tablet,LinkedIn
505,2025-01-09,Delhi,Mobile,Google Ads
506,2025-06-15,Pune,Desktop,LinkedIn
507,2025-05-26,Bangalore,Tablet,Google Ads
508,2025-06-23,Ahmedabad,Desktop,Instagram
509,2025-04-24,Mumbai,Tablet,Google Ads
510,2025-05-16,Pune,Desktop,Instagram
511,2025-06-16,Hyderabad,Mobile,Organic
512,2025-01-07,Delhi,Desktop,Referral
513,2025-04-10,Jaipur,Mobile,Instagram
514,2025-03-08,Ahmedabad,Mobile,Referral
515,2025-03-15,Ahmedabad,Mobile,Organic
516,2025-02-04,Mumbai,Desktop,Google Ads
517,2025-04-24,Mumbai,Tablet,Instagram
518,2025-06-20,Pune,Tablet,Organic
519,2025-05-21,Jaipur,Desktop,Instagram
520,2025-02-10,Delhi,Desktop,Referral
521,2025-02-27,Mumbai,Mobile,Google Ads
522,2025-03-02,Ahmedabad,Mobile,Instagram
523,2025-05-22,Kochi,Desktop,LinkedIn
524,2025-05-22,Delhi,Tablet,Organic
525,2025-01-17,Hyderabad,Desktop,LinkedIn
526,2025-05-15,Kolkata,Desktop,Referral
527,2025-01-19,Delhi,Desktop,Organic
528,2025-04-26,Ahmedabad,Tablet,Referral
529,2025-03-30,Delhi,Tablet,Referral
530,2025-02-16,Delhi,Desktop,Referral
531,2025-01-15,Mumbai,Tablet,Google Ads
532,2025-03-19,Delhi,Mobile,Instagram
533,2025-02-27,Pune,Tablet,Instagram
534,2025-01-21,Hyderabad,Mobile,Referral
535,2025-03-12,Delhi,Tablet,Instagram
536,2025-06-07,Jaipur,Mobile,Referral
537,2025-06-14,Delhi,Tablet,Referral
538,2025-02-09,Delhi,Tablet,Referral
539,2025-06-04,Pune,Tablet,Organic
540,2025-01-08,Mumbai,Mobile,Referral
541,2025-03-09,Chennai,Tablet,LinkedIn
542,2025-06-08,Bangalore,Desktop,Referral
543,2025-03-16,Hyderabad,Desktop,Google Ads
544,2025-06-25,Kolkata,Desktop,LinkedIn
545,2025-01-19,Bangalore,Mobile,LinkedIn
546,2025-04-17,Ahmedabad,Desktop,Google Ads
547,2025-03-29,Kochi,Mobile,Instagram
548,2025-03-23,Pune,Desktop,Google Ads
549,2025-04-05,Jaipur,Tablet,Organic
550,2025-03-23,Chennai,Desktop,Organic
551,2025-03-10,Ahmedabad,Mobile,Google Ads
552,2025-01-25,Bangalore,Desktop,LinkedIn
553,2025-06-07,Kolkata,Mobile,Google Ads
554,2025-03-25,Kochi,Tablet,Instagram
555,2025-02-18,Delhi,Desktop,Referral
556,2025-04-30,Ahmedabad,Desktop,LinkedIn
